# 資料庫版本: 2020-08-22
序號	字頭	字頭種類	異體字	頁碼	補遺頁碼	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼讀音	音序	讀音分類	釋義	另見原文	校訂註
299.1	倬			6		c	oek	3	8	coek3	Q107				
300.1	俳			6		p	aai	4	4	paai4	C5				
301.1	倏			6		s	uk	1	7	suk1	R134				
302.1	修			6		s	au	1	1	sau1	R28				
303.1	倐			6		s	uk	1	7	suk1	R134			同倏	
304.1	倘			6		t	ong	2	2	tong2	G69		倘若		
304.2	倘			6		s	oeng	4	4	soeng4	R112		倘佯		
305.1	俱			6		k	eoi	1	1	keoi1	L52				
305.2	俱			6		g	eoi	1	1	geoi1	J98	A			
306.1	倮			6		l	o	2	2	lo2	I79				
307.1	倡			6		c	oeng	1	1	coeng1	Q103				
307.2	倡			6		c	oeng	3	3	coeng3	Q105	A	倡議		
308.1	個			6		g	o	3	3	go3	J81				
309.1	候			6		h	au	6	6	hau6	O40				
310.1	倕			6		s	eoi	4	4	seoi4	R119				
311.1	倭			6		w	o	1	1	wo1	T40		倭奴		
311.2	倭			6		w	ai	1	1	wai1	T20		倭遲		
312.1	倪			6		ng	ai	4	4	ngai4	N33				
313.1	倠			6		s	eoi	1	1	seoi1	R116				
314.1	俾			7		b	ei	2	2	bei2	B36				
315.1	倽			7		s	aa	2	2	saa2	R2			同啥	
316.1	倫			7		l	eon	4	4	leon4	I103				
317.1	倸			7		c	oi	2	2	coi2	Q95			同睬	
318.1	俷			7		f	ai	3	3	fai3	E12				
319.1	倜			7		t	ik	1	7	tik1	G55				
320.1	𠉣			7		f	an	1	1	fan1	E17				
321.1	倃			7		z	aa	1	1	zaa1	P1			同咱	
322.1	俻			7		b	ei	6	6	bei6	B38			同備	
323.1	倞			7		l	oeng	6	6	loeng6	I96		求索		
323.2	倞			7		g	ing	6	6	ging6	J73			同勁	
324.1	俯			7		f	u	2	2	fu2	E39				
325.1	倣			7		f	ong	2	2	fong2	E34		同仿		
326.1	倅			7		c	eoi	3	3	ceoi3	Q110				
326.2	倅			7		z	eot	1	7	zeot1	P122	A			
327.1	倍			7		p	ui	5	5	pui5	C68				
327.2	倍			7		b	ui	3	3	bui3	B73			通背	
328.1	𠉪			7		j	ip	6	9	jip6	S58				
329.1	倓			7		t	aam	4	4	taam4	G7		安然不疑		
329.2	倓			7		d	aam	6	6	daam6	F10			通賧	
330.1	倦			7		g	yun	6	6	gyun6	J118				
331.1	倧			7		z	ung	1	1	zung1	P123				
332.1	倥			7		h	ung	1	1	hung1	O116		倥侗		
332.2	倥			7		h	ung	2	2	hung2	O117		倥偬		
333.1	倌			7		g	un	1	1	gun1	J106				
334.1	倉			7		c	ong	1	1	cong1	Q98				
335.1	們			7		m	un	4	4	mun4	D84				
336.1	倨			7		g	eoi	3	3	geoi3	J100				
337.1	倔			7		gw	at	6	9	gwat6	K22				
338.1	倴			7		b	an	6	6	ban6	B30				
339.1	偰			7		s	it	3	8	sit3	R86				
340.1	偌			7		j	e	6	6	je6	S31				
341.1	偞			7		j	ip	6	9	jip6	S58				
342.1	做			7		z	ou	6	6	zou6	P94				
343.1	偃			7		j	im	2	2	jim2	S46				
343.2	偃			7		j	in	2	2	jin2	S52	A			
344.1	偪			7		b	ik	1	7	bik1	B57			同逼	
345.1	偠			7		j	iu	5	5	jiu5	S43				
346.1	偭			7		m	in	5	5	min5	D59				
347.1	偕			7		h	aai	4	4	haai4	O6				
347.2	偕			7		g	aai	1	1	gaai1	J5	A			
348.1	偝			7		b	ui	3	3	bui3	B73				
349.1	偵			7		z	ing	1	1	zing1	P84				
350.1	偨			7		z	i	1	1	zi1	P64				
350.2	偨			7		c	i	1	1	ci1	Q59				
351.1	偍			7		t	ai	4	4	tai4	G18				
352.1	側			7		z	ak	1	7	zak1	P51				
353.1	偶			7		ng	au	5	5	ngau5	N40				
354.1	偈			7		g	ai	6	6	gai6	J26		偈語		
354.2	偈			7		g	it	6	9	git6	J69		勇武		
355.1	偎			7		w	ui	1	1	wui1	T58				
356.1	偲			7		c	aai	1	1	caai1	Q5		多才		
356.2	偲			7		s	i	1	1	si1	R63		偲偲		
357.1	偘			7		h	on	2	2	hon2	O95			同侃	
358.1	偢			7		c	iu	2	2	ciu2	Q65				
359.1	偟			7		w	ong	4	4	wong4	T48				
360.1	偊			7		g	eoi	2	2	geoi2	J99			同踽	
360.2	偊			7		j	yu	2	2	jyu2	A49			通傴	
361.1	偫			7		z	i	6	6	zi6	P67				
362.1	偷			7		t	au	1	1	tau1	G20				
363.1	偁			7		c	ing	1	1	cing1	Q78				
364.1	偩			7		f	u	6	6	fu6	E43				
365.1	偬			7		z	ung	2	2	zung2	P124				
366.1	偺			7		z	aa	1	1	zaa1	P1			同咱	
367.1	偯			7		j	i	2	2	ji2	S34				
