頁	列	字碼	字
121	1		捓
			琊
		1424	屯
		1434	旡
			炁
			㤅
			既
			旣
		14341	[⿰旡旡]
			朁
			僭
			噆
			憯
	2		潛
			譖
			㿊
			簪
			蠶
			鬵
			灊
		1435	戈
			划
			伐
122	1		栰
			筏
			閥
			垡
			找
			戕
			肈
		14351	戔
			盞
			箋
			剗
			淺
	2		琖
			殘
			棧
			牋
			綫
			賤
			濺
			踐
			錢
			籛
			醆
			餞
		1441	互
123	1		冱
			沍
			䇘
		1443	切
			砌
			沏
			窃
		1444	巠
			剄
			勁
	2		頸
			陘
			徑
			涇
			脛
			牼
			硜
			經
			輕
124	1		踁
			莖
			痙
			逕
		14451	亙
		14452	徽
		14454	溼
		1450	弋
	2		貣
			鳶
			杙
			黓
			代
			岱
			玳
			牮
			袋
			貸
125	1		黛
		1451	至
			厔
			室
			侄
			咥
			姪
			垤
			胵
			桎
			蛭
	2		絰
			輊
			銍
			郅
			致
			緻
			致
			到
			倒
			耊
126	1		屋
			偓
			握
			渥
			幄
			喔
			齷
			窒
			螲
			𦄔
			膣
		1454	晉
	2		搢
			瑨
			縉
			戩
		15312	来
		15313	夹
			平
		1534	亊
		1542	疐
			嚏
			懥
		1545	忒
			鋱
127	1	2000	丨
			亅
			引
			矧
			蚓
			靷
		2110	上
			忐
	2	21111	犀
			遲
			墀
			樨
			穉
			屬
			囑
128	1		爥
			矚
			斸
			眔
			褱
			壞
			懷
			瓌
		21112	非
			剕
			俳
			啡
			徘
	2		排
			悱
			腓
			琲
			緋
			誹
			騑
			屝
			扉
			痱
			菲
			罪
			霏
			斐
129	1		悲
			棐
			翡
			裴
			蜚
			輩
			匪
			榧
			篚
			韭
			韮
	2		薤
			豐
			酆
			艷
			豓
			灩
			豔
		21114	北
			邶
			背
130	1		揹
			褙
			冀
			驥
		21121	鬥
		21123	尗
			𡧯
			茮
			叔
			寂
	2		菽
			惄
			督
			俶
			淑
			椒
			踧
			諔
		21125	卡
131	1	2121	止
			芷
			扯
			址
			阯
			沚
			趾
			耻
			㢟
			㱕
		21211	羋
	2		哶
			泚
			眦
			訿
			骴
			疵
			些
			柴
			眥
			砦
132	1		紫
			胔
			訾
			貲
			鮆
			啙
			觜
			嘴
			蟕
			髭
			雌
		21212	肯
	2		掯
			蕋
			澁
			徙
			屣
			蓰
			縰
			蹝
			步
			涉
			埗
			陟
133	1		騭
			頻
			嚬
			瀕
			蘋
			顰
		21213	歳
			薉
			劌
			翽
			濊
	2		噦
			穢
			𧬨
			歬
			齒
			嚙
			𪘏
		21241	占
			苫
134	1		店
			痁
			掂
			惦
			扂
			佔
			呫
			坫
			阽
	2		怗
			沾
			霑
			拈
			帖
			玷
			毡
			站
			砧
			䀡
			粘
			蛅
			貼
			詀
135	1		鉆
			颭
			鮎
			黏
			點
			敁
			点
			覘
	2		毡
			战
			乩
			卓
			逴
			罩
			倬
			淖
			掉
			悼
			棹
			綽
			踔
136	1		趠
			桌
			槕
			貞
			偵
			幀
			楨
			禎
			赬
		21243	鹵
			滷
			磠
	2		𥜽
			竊
		21244	卣
			卨
		21343	豳
		21345	歺
			𣦼
			粲
			燦
			璨
137	1		餐
			䱗
			瀣
		21411	[ ⿳⺊彐龰/㨗右邊]
		21414	𣶒
		2143	虍
		2145	攴
		21541	睿
			叡
			濬
	2		璿
			㕡
			壑
			敹{本从攴}
		21542	肻
		2242	㐀
			虛
			噓
			墟
			歔
138	1		戯
			覷
			虡
			簴
		2253	黹
			丵
			菐
			僕
			濮
			撲
			墣
			幞
			樸
			璞
	2		襆
			蹼
			醭
			業
			鄴
			對
			懟
			𡭊
			[對左下多一橫]
139	1		叢
			鑿
		2335	眔
			遝
			瘝
			鰥
		2353	以
			似
			姒
	2		苡
			拟
		2400	冂
