# 資料庫版本: 2018-10-31
編號	頁	欄	字	紀錄	紀錄標記 (空白:主條目;C:勘誤欄;A:約解讀音)	廣話切	統一反切上字	統一反切下字	反切標記	粵拼聲母	粵拼韻母	粵拼聲調	九聲聲調	粵拼	現代粵音:標記	約解	經校訂修正	校訂註
251	8	4	像	1/1		臧亮	臧	亮		z	oeng	6	6	zoeng6		摹仿也。畫～，塑～，肖～		
252	8	4	僑	1/1		慷苗	慷	苗		k	iu	4	4	kiu4		寄居也		
253	8	4	僕	1/1		邦局	邦	局		b	uk	6	9	buk6		為人役也。又自謙之詞。～～：煩勞也		
254	8	4	僚	1/1		郎橋	郎	橋		l	iu	4	4	liu4		朋也，官～也		
255	8	4	偽	1/1		昂跪	昂	跪		ng	ai	6	6	ngai6		假也，詐也		
256	8	4	僦	1/1		臧埠	臧	埠		z	au	6	6	zau6		賃居也		
257	8	4	僨	1/1		方敏	方	敏		f	an	5	5	fan5		壞事也		
258	8	4	僬	1/1		臧嬌	臧	嬌		z	iu	1	1	ziu1		～～，明察也		
259	8	4	僥	1/1		也橋	也	橋		j	iu	4	4	jiu4		焦～，短小人也		
260	8	4	僥	1/1		康嬌	康	嬌		h	iu	1	1	hiu1		～倖		
261	8	4	僧	1/1		臧更	臧	更		z	ang	1	1	zang1		和尚也		
262	9	1	僭	1/1		倉劍	倉	劍		c	im	3	3	cim3		～窃，～越，不安分也		
263	9	1	僮	1/1		湯窮	湯	窮		t	ung	4	4	tung4		～僕也		
